City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Description
209,Vuktyl,RU,63.8567,57.3094,38.91,38.91,97,100,4.56,overcast clouds
210,Alta Floresta,BR,-9.8756,-56.0861,76.8,76.8,30,11,1.48,few clouds
211,Tuatapere,NZ,-46.1333,167.6833,53.53,53.53,73,100,5.91,overcast clouds
212,Keetmanshoop,NA,-26.5833,18.1333,52.79,52.79,51,31,8.84,scattered clouds
213,Miri,MY,4.4148,114.0089,82.54,82.09,83,20,5.75,few clouds
214,Norden,DE,53.6,7.2,59.95,49.98,73,100,1.99,overcast clouds
215,San Quintin,MX,30.4833,-115.95,74.39,74.39,84,45,3.36,scattered clouds
216,Ponta Do Sol,PT,32.6667,-17.1,76.01,74.03,89,100,13.35,light rain
217,Tahta,EG,26.7693,31.5021,78.08,78.08,31,0,8.39,clear sky
218,Wukari,NG,7.85,9.7833,70.81,70.81,97,100,4.27,light rain
219,Polignano A Mare,IT,40.9959,17.2159,71.69,67.39,66,15,17.27,few clouds
220,Keflavik,IS,64.0049,-22.5624,45.03,44.51,87,0,9.22,clear sky
221,Abay,KZ,49.6311,72.8539,46.78,46.78,76,100,11.36,overcast clouds
222,Banos,EC,-1.4,-78.4167,56.1,56.1,95,61,0.31,broken clouds
223,Brae,GB,60.3964,-1.353,56.39,56.39,93,100,13.13,light rain
224,Merrill,US,45.1805,-89.6835,59.9,57.38,82,0,5.75,clear sky
225,Belmopan,BZ,17.25,-88.7667,75.99,75.99,99,99,2.64,overcast clouds
226,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,70.21,78,100,18.34,overcast clouds
227,Talavera De La Reina,ES,39.9635,-4.8308,71.47,71.47,57,100,3.6,overcast clouds
228,Pinawa,CA,50.1489,-95.8811,58.08,58.08,50,0,6.4,clear sky
229,Husavik,IS,66.0449,-17.3389,46.89,46.89,90,100,4.83,overcast clouds
230,Carahue,CL,-38.7,-73.1667,42.48,42.48,95,78,1.68,broken clouds
231,Bethel,US,41.3712,-73.414,66.65,62.91,88,100,1.99,overcast clouds
232,Sawakin,SD,19.1059,37.3321,87.06,87.06,58,97,5.03,overcast clouds
233,College,US,64.8569,-147.8028,63.07,56.46,52,100,4.61,haze
234,Chicama,PE,-7.8447,-79.1469,62.08,62.08,82,55,7.29,broken clouds
235,Bilma,NE,18.6853,12.9164,87.93,87.93,16,77,7.96,broken clouds
236,Yashan,CN,22.1975,109.9419,84.38,84.38,70,11,3.91,few clouds
237,Tessalit,ML,20.1986,1.0114,91.87,91.87,12,54,8.79,broken clouds
238,Dubbo,AU,-32.25,148.6167,59.13,59.13,44,5,14.97,clear sky
239,Manavalakurichi,IN,8.1333,77.3,78.24,78.24,82,82,12.62,broken clouds
240,Makambako,TZ,-8.8453,34.823,53.51,53.51,88,12,10.09,few clouds
241,Touros,BR,-5.1989,-35.4608,76.73,76.73,77,47,14.72,scattered clouds
242,Mayo,US,38.8876,-76.5119,75.51,72.09,96,20,1.01,few clouds
243,Dukat,RU,62.55,155.55,39.29,39.29,79,100,9.4,overcast clouds
244,Hohhot,CN,40.8106,111.6522,72.09,72.09,38,1,1.61,clear sky
245,Ostrovnoy,RU,68.0531,39.5131,47.41,47.41,96,100,4.09,light rain
246,Pavlovsk,RU,50.4578,40.1081,55.81,55.81,39,99,15.79,overcast clouds
247,Nanjing,CN,32.0617,118.7778,82.38,82.38,51,0,7.0,clear sky
248,Halifax,CA,44.6453,-63.5724,68.0,57.34,70,0,8.05,clear sky
249,Itaituba,BR,-4.2761,-55.9836,83.8,83.8,39,92,2.57,overcast clouds
250,Chokurdakh,RU,70.6333,147.9167,41.67,41.67,68,100,9.6,overcast clouds
251,Pailon,BO,-17.65,-62.75,77.58,77.58,37,36,6.31,scattered clouds
252,Rawson,AR,-43.3002,-65.1023,51.69,51.69,60,86,3.67,overcast clouds
253,Linqiong,CN,30.4159,103.4609,75.45,75.45,73,96,0.63,overcast clouds
254,Kilindoni,TZ,-7.9139,39.6668,74.55,74.55,77,6,10.16,clear sky
255,Hays,US,30.0502,-98.0336,82.27,76.6,57,0,4.0,clear sky
256,Thika,KE,-1.0333,37.0693,62.17,62.17,90,94,3.15,overcast clouds
257,Pincher Creek,CA,49.4833,-113.952,73.56,70.25,24,0,16.11,haze
258,Dossor,KZ,47.5272,52.9811,53.74,53.74,41,73,7.02,broken clouds
259,Madarounfa,NE,13.3087,7.156,76.62,76.62,78,57,6.46,broken clouds
260,Miranda De Ebro,ES,42.6865,-2.947,72.05,66.81,58,44,4.03,scattered clouds
261,Xining,CN,36.6167,101.7667,57.67,57.67,58,0,1.48,clear sky
262,Hangu,CN,39.2489,117.7892,80.64,80.64,56,0,2.46,clear sky
263,Ullapool,GB,57.8987,-5.1604,56.35,56.35,98,100,5.28,moderate rain
264,Nabire,ID,-3.3667,135.4833,85.96,85.96,61,78,4.05,broken clouds
265,Kavaratti,IN,10.5669,72.642,80.37,80.37,83,80,19.37,broken clouds
266,Vicuna,CL,-30.0319,-70.7081,57.52,57.52,58,0,0.94,clear sky
267,Emirdag,TR,39.0197,31.15,64.74,64.74,60,0,1.41,clear sky
268,Bairiki,KI,1.3292,172.9752,80.82,80.82,74,89,10.58,overcast clouds
269,Chumikan,RU,54.7183,135.315,44.92,44.92,91,100,11.95,moderate rain
270,Aguilas,ES,37.4063,-1.5829,78.78,78.78,64,75,5.84,broken clouds
271,Pangoa,PE,-12.1167,-73.0,73.18,73.18,76,94,1.68,overcast clouds
272,Upernavik,GL,72.7868,-56.1549,40.06,40.06,95,100,5.99,light rain
273,Bodrum,TR,37.0383,27.4292,74.68,66.13,77,0,5.68,clear sky
274,Chiapa,MX,18.4669,-96.945,61.34,61.34,98,100,1.43,overcast clouds
275,Mayumba,GA,-3.432,10.6554,72.57,72.57,88,72,4.85,broken clouds
276,Sola,VU,-13.8833,167.55,80.42,80.42,69,4,17.87,clear sky
277,Yurga,RU,55.7231,84.8861,48.61,48.61,86,91,12.15,overcast clouds
278,Namibe,AO,-15.1961,12.1522,62.53,62.53,89,97,7.38,overcast clouds
279,Port Hardy,CA,50.6996,-127.4199,58.89,58.89,89,97,9.48,overcast clouds
280,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,69.66,69.66,73,93,4.72,overcast clouds
281,Havelock,US,34.8791,-76.9013,81.99,76.95,92,0,4.61,clear sky
282,Ust-Ishim,RU,57.6935,71.1665,37.08,37.08,90,10,3.15,clear sky
283,Lavrentiya,RU,65.5833,-171.0,45.0,45.0,86,100,16.02,overcast clouds
284,Inirida,CO,3.8653,-67.9239,73.8,73.8,97,93,2.57,overcast clouds
285,Sorland,NO,67.667,12.6934,49.86,49.86,84,100,8.19,overcast clouds
286,Luwuk,ID,-0.9516,122.7875,84.11,84.11,67,95,4.45,overcast clouds
287,Tanout,NE,14.9709,8.8879,84.29,84.29,48,58,10.98,broken clouds
288,Vestmannaeyjar,IS,63.4427,-20.2734,49.91,49.91,80,95,12.01,overcast clouds
289,Ailigandi,PA,9.2333,-78.0167,78.62,78.62,86,79,4.21,broken clouds
290,Roald,NO,62.5833,6.1333,56.75,47.32,93,100,5.75,overcast clouds
291,Amalapuram,IN,16.5833,82.0167,79.54,79.54,84,100,8.28,moderate rain
292,Pocsaj,HU,47.2833,21.8167,59.05,55.42,86,99,5.64,overcast clouds
293,Lac Du Bonnet,CA,50.2536,-96.0612,59.02,59.02,48,0,6.62,clear sky
294,Egvekinot,RU,66.3167,-179.1667,42.58,42.58,57,81,6.87,broken clouds
295,Shiyan,CN,32.6475,110.7781,78.66,78.66,58,20,1.12,few clouds
296,Rajshahi,BD,24.3667,88.6,76.42,76.42,94,100,13.56,overcast clouds
297,Matsuura,JP,33.3271,129.721,82.89,82.89,73,97,7.23,overcast clouds
298,Guarapari,BR,-20.6667,-40.4975,68.9,68.9,82,100,7.23,overcast clouds
299,Griffith,US,41.5284,-87.4237,61.29,58.1,85,100,13.8,overcast clouds
300,Haines Junction,CA,60.7522,-137.5108,52.03,52.03,57,100,4.47,overcast clouds
301,Xuddur,SO,4.1213,43.8894,69.12,69.12,75,59,12.39,broken clouds
302,Axim,GH,4.8699,-2.2405,73.69,73.69,89,99,10.31,overcast clouds
