City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,La Ronge,CA,2022-08-15 06:13:20,55.1001,-105.2842,66.45,72,75,6.91
116,Kokopo,PG,2022-08-15 06:13:20,-4.352,152.2633,81.86,72,100,6.87
117,Poum,NC,2022-08-15 06:13:21,-20.2333,164.0167,75.0,87,100,20.22
118,Brazzaville,CG,2022-08-15 06:13:21,-4.2658,15.2832,68.31,66,18,4.32
119,Khatanga,RU,2022-08-15 06:13:22,71.9667,102.5,68.09,39,10,6.91
120,Visnes,NO,2022-08-15 06:13:22,59.3556,5.2242,66.58,82,40,9.22
121,Nome,US,2022-08-15 06:13:23,64.5011,-165.4064,50.07,58,0,6.91
122,Vila Franca Do Campo,PT,2022-08-15 06:13:23,37.7167,-25.4333,73.81,93,41,6.13
123,Sinnamary,GF,2022-08-15 06:13:24,5.3833,-52.95,77.05,82,86,5.91
124,Umm Lajj,SA,2022-08-15 06:13:24,25.0213,37.2685,87.82,61,53,10.83
125,Tahta,EG,2022-08-15 06:13:24,26.7693,31.5021,85.68,36,3,14.16
126,Comodoro Rivadavia,AR,2022-08-15 06:12:57,-45.8667,-67.5,44.46,42,0,14.97
127,Volnovakha,UA,2022-08-15 06:13:25,47.601,37.4967,84.72,23,82,18.7
128,Byron Bay,AU,2022-08-15 06:10:48,-28.65,153.6167,67.95,46,2,5.88
129,Eyl,SO,2022-08-15 06:13:26,7.9803,49.8164,84.58,54,82,23.33
130,Tuktoyaktuk,CA,2022-08-15 06:13:26,69.4541,-133.0374,44.74,86,52,17.05
131,Grahamstown,ZA,2022-08-15 06:13:27,-33.3042,26.5328,44.73,76,98,11.92
132,Tomari,RU,2022-08-15 06:13:27,47.7658,142.0683,68.99,76,18,1.86
133,Meulaboh,ID,2022-08-15 06:13:27,4.1363,96.1285,83.79,57,100,6.29
134,Dongsheng,CN,2022-08-15 06:14:28,39.8161,109.9776,79.77,27,26,11.99
135,Beckley,US,2022-08-15 06:10:25,37.7782,-81.1882,63.01,96,100,8.05
136,Manzhouli,CN,2022-08-15 06:14:29,49.6,117.4333,79.68,29,67,2.3
137,Fukue,JP,2022-08-15 06:14:29,32.6881,128.8419,85.05,81,84,18.95
138,Bilma,NE,2022-08-15 06:14:29,18.6853,12.9164,87.85,41,83,5.28
139,Muros,ES,2022-08-15 06:14:30,42.7762,-9.0603,62.17,95,14,4.41
140,Mozarlandia,BR,2022-08-15 06:14:30,-14.7447,-50.5706,72.93,35,0,5.75
141,Hilo,US,2022-08-15 06:10:00,19.7297,-155.09,75.25,88,75,5.75
142,Timra,SE,2022-08-15 06:14:31,62.487,17.3257,60.67,94,100,2.3
143,Yulara,AU,2022-08-15 06:14:31,-25.2406,130.9889,74.19,19,0,13.76
144,Cape Town,ZA,2022-08-15 06:14:32,-33.9258,18.4232,51.39,76,0,2.3
145,Creel,MX,2022-08-15 06:14:32,27.75,-107.6333,57.29,86,100,3.31
146,Severo-Kurilsk,RU,2022-08-15 06:14:33,50.6789,156.125,54.82,95,91,21.05
147,Mizoch,UA,2022-08-15 06:14:33,50.4,26.15,67.78,79,93,7.94
148,Srednekolymsk,RU,2022-08-15 06:12:19,67.45,153.6833,57.81,34,1,12.84
149,Namatanai,PG,2022-08-15 06:14:34,-3.6667,152.4333,81.81,73,100,5.97
150,Axim,GH,2022-08-15 06:14:34,4.8699,-2.2405,74.52,88,100,12.3
151,Inhambane,MZ,2022-08-15 06:14:35,-23.865,35.3833,69.94,71,86,17.22
152,Bengkulu,ID,2022-08-15 06:14:35,-3.8004,102.2655,84.33,67,78,5.46
153,Lavassaare,EE,2022-08-15 06:14:35,58.5114,24.3889,72.82,78,75,5.75
154,Mackay,AU,2022-08-15 06:14:36,-21.15,149.2,68.38,48,26,8.19
155,Benidorm,ES,2022-08-15 06:14:36,38.5382,-0.131,84.49,70,1,3.0
156,Mantua,IT,2022-08-15 06:14:37,45.1667,10.7833,74.08,81,81,1.99
157,Jiuquan,CN,2022-08-15 06:14:37,39.7432,98.5174,84.2,18,28,4.92
158,Bossangoa,CF,2022-08-15 06:14:38,6.4926,17.4552,68.59,98,100,2.75
159,Sesimbra,PT,2022-08-15 06:14:38,38.4445,-9.1015,68.74,92,0,9.06
160,Mar Del Plata,AR,2022-08-15 06:12:06,-38.0023,-57.5575,51.1,94,100,25.01
161,Ishigaki,JP,2022-08-15 06:14:38,24.3448,124.1572,86.0,73,5,18.48
162,Southbridge,US,2022-08-15 06:12:53,42.0751,-72.0334,63.21,89,84,5.99
163,Carman,CA,2022-08-15 06:14:39,49.4992,-98.0016,68.92,88,83,3.44
164,Port Hardy,CA,2022-08-15 06:14:39,50.6996,-127.4199,59.18,100,75,0.0
165,Elko,US,2022-08-15 06:14:40,41.0002,-115.5012,68.05,47,64,1.99
166,Priboj,BA,2022-08-15 06:14:40,44.6028,18.9314,62.44,64,9,3.44
167,Talcahuano,CL,2022-08-15 06:10:16,-36.7167,-73.1167,44.28,87,40,2.3
168,Fare,PF,2022-08-15 06:14:41,-16.7,-151.0167,78.58,75,8,14.41
169,Codrington,AU,2022-08-15 06:14:41,-38.2667,141.9667,52.83,74,84,19.75
170,Ilulissat,GL,2022-08-15 06:14:42,69.2167,-51.1,51.82,58,100,16.11
171,Carnarvon,AU,2022-08-15 06:14:42,-24.8667,113.6333,87.87,37,80,27.63
172,Chokurdakh,RU,2022-08-15 06:14:42,70.6333,147.9167,59.41,36,6,11.14
173,Alofi,NU,2022-08-15 06:14:43,-19.0595,-169.9187,73.29,68,75,23.02
174,Coquimbo,CL,2022-08-15 06:13:16,-29.9533,-71.3436,47.93,100,0,3.44
175,Trincomalee,LK,2022-08-15 06:14:43,8.5711,81.2335,82.78,74,74,10.89
176,Hami,CN,2022-08-15 06:14:44,42.8,93.45,93.85,12,7,3.6
177,Monterey,US,2022-08-15 06:11:36,36.2505,-121.2516,66.18,39,0,7.31
178,Havoysund,NO,2022-08-15 06:14:44,70.9963,24.6622,50.23,71,84,8.14
179,Uchaly,RU,2022-08-15 06:15:45,54.2996,59.4521,65.46,40,5,2.68
180,Erenhot,CN,2022-08-15 06:15:45,43.6475,111.9767,77.0,35,0,13.51
181,Esmeraldas,BR,2022-08-15 06:15:46,-19.7625,-44.3139,56.26,67,0,4.76
182,Rio Gallegos,AR,2022-08-15 06:15:46,-51.6226,-69.2181,35.06,81,60,18.66
183,Maxixe,MZ,2022-08-15 06:15:47,-23.8597,35.3472,69.76,70,88,15.77
184,Mount Isa,AU,2022-08-15 06:11:58,-20.7333,139.5,76.77,11,4,11.5
185,Kavieng,PG,2022-08-15 06:15:47,-2.5744,150.7967,81.66,73,100,5.64
186,Whitehorse,CA,2022-08-15 06:15:04,60.7161,-135.0538,59.77,58,75,10.36
187,Tazovskiy,RU,2022-08-15 06:14:51,67.4667,78.7,46.08,94,100,17.27
188,Saint George,US,2022-08-15 06:11:18,37.1041,-113.5841,76.95,67,0,5.75
189,Sur,OM,2022-08-15 06:15:49,22.5667,59.5289,95.14,46,40,4.38
190,Saint-Francois,FR,2022-08-15 06:15:32,46.4154,3.9054,60.67,100,100,3.44
191,Clyde River,CA,2022-08-15 06:15:49,70.4692,-68.5914,35.83,100,100,2.3
192,Coihaique,CL,2022-08-15 06:13:18,-45.5752,-72.0662,35.55,87,40,3.44
193,Gleisdorf,AT,2022-08-15 06:15:50,47.1061,15.7127,70.86,75,13,1.97
194,Asau,RO,2022-08-15 06:15:50,46.4333,26.4,65.32,74,89,2.26
195,Bathsheba,BB,2022-08-15 06:15:51,13.2167,-59.5167,81.21,89,20,9.22
196,Saldanha,ZA,2022-08-15 06:15:51,-33.0117,17.9442,46.58,71,2,6.69
197,Kamaishi,JP,2022-08-15 06:15:52,39.2667,141.8833,76.82,86,97,5.79
198,Almetyevsk,RU,2022-08-15 06:15:52,54.9044,52.3154,70.14,43,0,7.81
199,Kiama,AU,2022-08-15 06:11:56,-34.6833,150.8667,61.38,53,97,7.0
200,Beloha,MG,2022-08-15 06:15:53,-25.1667,45.05,77.41,43,47,11.36
201,Nabire,ID,2022-08-15 06:15:53,-3.3667,135.4833,80.69,82,100,3.18
202,Mehamn,NO,2022-08-15 06:15:53,71.0357,27.8492,55.31,71,0,5.75
203,Chadan,RU,2022-08-15 06:11:11,51.2833,91.5833,77.97,26,11,9.35
204,Klaksvik,FO,2022-08-15 06:15:54,62.2266,-6.589,50.92,77,100,7.94
205,Miranda,CO,2022-08-15 06:15:54,3.2499,-76.2281,66.33,91,66,4.5
206,Tual,ID,2022-08-15 06:15:55,-5.6667,132.75,79.63,73,94,23.35
207,Bethel,US,2022-08-15 06:15:55,41.3712,-73.414,66.65,84,20,0.0
