City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
620,Bafoulabe,ML,74.3,13.8065,-10.8321,broken clouds,Logement du Chargé SIS Abdoul Karim Konaté
625,Wamba,NG,69.51,8.9333,8.6,broken clouds,Roma Zee Guest House Annex
634,Madison,US,72.75,34.7334,-86.5667,clear sky,Embassy Suites by Hilton Huntsville
635,Kishi,NG,69.62,9.0833,3.85,overcast clouds,New NCCF KISI
636,Gaurnadi,BD,76.14,22.9667,90.2333,overcast clouds,মোল্লা বারি
644,Beira,MZ,68.27,-19.8436,34.8389,clear sky,Beira Terrace Hotel
648,Bheramara,BD,76.42,24.0232,88.9925,overcast clouds,Govt Guest House (Dac Banglo)
652,Vemalwada,IN,74.62,18.4667,78.8833,moderate rain,Hotel Lakshmi Niharika
658,Hargeysa,SO,68.36,9.56,44.065,few clouds,City Center Hotel
659,Bhikangaon,IN,77.92,21.8667,75.95,heavy intensity rain,Vaishno Devi Mandir shakuntala niwas
661,Salinopolis,BR,79.74,-0.6136,-47.3561,broken clouds,Salinas Park Resort Maçarico AP101
665,Shenjiamen,CN,76.39,29.9576,122.298,light rain,Jinjiang Inn Zhoushan Putuo Shenjiamen
668,Medicine Hat,CA,75.85,50.0501,-110.6683,overcast clouds,Ramada Limited Medicine Hat
673,Bighapur,IN,79.97,26.35,80.6833,clear sky,Tamatar The Restaurant
677,Tabou,CI,74.23,4.423,-7.3528,overcast clouds,hotêl doufoulougou
678,Yatou,CN,74.35,37.15,122.3833,clear sky,GreenTree Hotel Rongcheng Bus Station
683,Calabozo,VE,76.91,8.9242,-67.4293,overcast clouds,Hotel Giardini
688,Clifton,US,70.79,40.8584,-74.1638,mist,Quality Urban Housing
691,Cotonou,BJ,76.39,6.3654,2.4183,light rain,Novotel Cotonou Orisha
692,Tucupita,VE,74.19,9.0622,-62.051,scattered clouds,Hotel Tucupita Su​ite C.A.
693,Pasni,PK,79.99,25.2631,63.471,clear sky,Kashmiri Hotal
696,Xunchang,CN,79.41,28.4543,104.715,broken clouds,Jiabin Inn
697,Marsala,IT,75.94,37.7966,12.4352,clear sky,Villa Favorita Hotel e Resort
698,Price,US,77.11,39.5994,-110.8107,clear sky,National 9 - Price River Inn
703,Cascais,PT,71.51,38.6979,-9.4215,light rain,Hotel Vila Galé Cascais
704,Yamada,JP,75.42,39.4667,141.95,overcast clouds,Iroha-ya Inn
